Time,X,Y,Dist_m,TimeDiff_s
2026-04-05 08:14:53+00:00,219.86317313833337,205.0164519879076,0.0,0.0
2026-04-05 08:14:54+00:00,219.6403686254323,205.24446652985364,3.1892806521613744,1.0
2026-04-05 08:14:55+00:00,219.5100632434069,205.41278915792185,2.129605969050526,1.0
2026-04-05 08:14:56+00:00,219.39778933601303,205.53788810508362,1.681633979995696,1.0
2026-04-05 08:14:57+00:00,219.23665091034542,205.7261080378293,2.478807600569334,1.0
2026-04-05 08:14:58+00:00,219.08104161823957,205.93708283479896,2.6227193208701425,1.0
2026-04-05 08:14:59+00:00,218.99262754693513,206.1310178867134,2.132459617215028,1.0
2026-04-05 08:15:00+00:00,218.85622060830318,206.37698224798362,2.8139369045620564,1.0
2026-04-05 08:15:01+00:00,218.73958844620904,206.55753957605071,2.150519293819621,1.0
2026-04-05 08:15:02+00:00,218.61015471511095,206.7147705279686,2.037415492087287,1.0
2026-04-05 08:15:03+00:00,218.46647534104977,206.96016337731456,2.8449812573647786,1.0
2026-04-05 08:15:04+00:00,218.36613135170066,207.11968037685267,1.885420774182734,1.0
2026-04-05 08:15:05+00:00,218.18957640422138,207.3178489618982,2.6552147542937106,1.0
2026-04-05 08:15:06+00:00,218.06305685385837,207.53110980656686,2.480852722566936,1.0
2026-04-05 08:15:07+00:00,217.92839321710682,207.7548908155384,2.6129935160796522,1.0
2026-04-05 08:15:08+00:00,217.81758941645083,208.04750792918384,3.130557747838609,1.0
2026-04-05 08:15:09+00:00,217.75913673782938,208.23263735264794,1.9424074867383607,1.0
2026-04-05 08:15:10+00:00,217.67916598078358,208.50535716169276,2.8435417759421484,1.0
2026-04-05 08:15:11+00:00,217.64631644011897,208.73713933760988,2.3422594355561257,1.0
2026-04-05 08:15:12+00:00,217.63237002504522,208.91460615639338,1.7811118521503648,1.0
2026-04-05 08:15:13+00:00,217.62163701858339,209.23740778944068,3.2315616728622376,1.0
2026-04-05 08:15:14+00:00,217.59227408169187,209.42482326060284,1.8980492069961372,1.0
2026-04-05 08:15:15+00:00,217.58502767900933,209.70325818881633,2.7868104578694175,1.0
2026-04-05 08:15:16+00:00,217.63683241073352,209.9751735363564,2.7695067947843115,1.0
2026-04-05 08:15:17+00:00,217.6394733963137,210.22090494804718,2.4587912334934265,1.0
2026-04-05 08:15:18+00:00,217.61593882087323,210.5203802047887,3.005626250948663,1.0
2026-04-05 08:15:19+00:00,217.63691050896807,210.8121928570072,2.927227419235928,1.0
2026-04-05 08:15:20+00:00,217.65120821743128,211.28204383993452,4.7032323099536635,1.0
2026-04-05 08:15:21+00:00,217.6861523533657,211.67539611342943,3.9511319942567242,1.0
2026-04-05 08:15:22+00:00,217.7554161366964,212.00448437756978,3.3647254017861585,1.0
